,0
0,Arizona
1,Colorado
2,Georgia
3,Idaho
4,Illinois
5,Iowa
6,Louisiana
7,Maryland
8,Massachusetts
9,Michigan
10,Missouri
11,Nebraska
12,New Hampshire
13,New Jersey
14,Pennsylvania
15,Rhode Island
16,Vermont
17,Wisconsin
